Index_no,listing_id,date,availability
1,241032,1/4/2016,1
2,241032,1/5/2016,1
3,241032,1/6/2016,0
4,241032,1/7/2016,0
5,241032,1/8/2016,0
6,241032,1/9/2016,0
7,241032,1/10/2016,0
8,241032,1/11/2016,0
9,241032,1/12/2016,0
10,241032,1/13/2016,1
11,241032,1/14/2016,1
12,241032,1/15/2016,0
13,241032,1/16/2016,0
14,241032,1/17/2016,0
15,241032,1/18/2016,1
16,241032,1/19/2016,1
17,241032,1/20/2016,1
18,241032,1/21/2016,0
19,241032,1/22/2016,0
20,241032,1/23/2016,0
21,241032,1/24/2016,1
22,241032,1/25/2016,1
23,241032,1/26/2016,1
24,241032,1/27/2016,1
25,241032,1/28/2016,1
26,241032,1/29/2016,0
27,241032,1/30/2016,0
28,241032,1/31/2016,0
29,241032,2/1/2016,1
30,241032,2/2/2016,1
31,241032,2/3/2016,1
32,241032,2/4/2016,1
33,241032,2/5/2016,1
34,241032,2/6/2016,1
35,241032,2/7/2016,1
36,241032,2/8/2016,1
37,241032,2/9/2016,1
38,241032,2/10/2016,1
39,241032,2/11/2016,0
40,241032,2/12/2016,0
41,241032,2/13/2016,0
42,241032,2/14/2016,1
43,241032,2/15/2016,1
44,241032,2/16/2016,1
45,241032,2/17/2016,1
46,241032,2/18/2016,1
47,241032,2/19/2016,1
48,241032,2/20/2016,1
49,241032,2/21/2016,1
50,241032,2/22/2016,1
51,241032,2/23/2016,1
52,241032,2/24/2016,1
53,241032,2/25/2016,1
54,241032,2/26/2016,1
55,241032,2/27/2016,1
56,241032,2/28/2016,1
57,241032,2/29/2016,1
58,241032,3/1/2016,1
59,241032,3/2/2016,1
60,241032,3/3/2016,1
61,241032,3/4/2016,1
62,241032,3/5/2016,1
63,241032,3/6/2016,1
64,241032,3/7/2016,1
65,241032,3/8/2016,1
66,241032,3/9/2016,1
67,241032,3/10/2016,1
68,241032,3/11/2016,1
69,241032,3/12/2016,1
70,241032,3/13/2016,1
71,241032,3/14/2016,1
72,241032,3/15/2016,1
73,241032,3/16/2016,1
