host_no,listing_id,availability_30,availability_60,availability_90,availability_365
1,241032,14,41,71,346
2,953595,13,13,16,291
3,3308979,1,6,17,220
4,7421966,0,0,0,143
5,278830,30,60,90,365
6,5956968,0,0,27,302
7,1909058,20,49,71,346
8,856550,22,42,42,100
9,4948745,6,36,66,341
10,2493658,6,19,49,324
11,175576,0,0,0,153
12,4454295,21,21,21,229
13,3883392,30,60,90,362
14,8889257,13,40,63,337
15,5680462,19,40,65,327
16,8988178,30,60,69,69
17,3245876,29,59,89,364
18,4933447,29,52,82,171
19,7735464,0,0,0,125
20,6291829,24,54,84,359
21,9218403,29,55,85,360
22,4125779,30,60,90,365
23,8942678,0,0,0,53
24,10106055,30,60,90,365
25,6362362,0,0,0,212
26,3544550,0,3,33,293
27,9025039,0,0,0,49
28,3200646,22,49,49,107
29,8859380,24,54,84,356
30,4520099,0,1,30,305
31,2481869,19,46,62,323
32,1110749,23,50,77,162
33,5978498,0,0,9,213
34,5021081,0,0,0,2
35,1686930,11,38,68,309
36,7680289,30,60,90,353
37,7207641,0,0,0,153
38,5062445,28,58,88,363
39,8925878,16,46,76,351
40,6389657,12,38,40,201
41,4218733,19,46,76,351
42,2715623,0,13,43,310
43,1392332,0,3,33,308
44,7308567,8,34,64,339
45,6575380,0,0,11,285
46,6004058,28,58,87,87
47,9550869,30,60,90,354
48,8515408,30,60,89,89
49,5383192,0,0,20,295
50,1112092,30,60,89,89
51,7772661,25,51,81,142
52,9254900,0,15,29,29
53,7714294,0,0,28,303
54,10310373,18,46,76,351
55,9368342,0,0,0,212
56,6361863,15,39,69,331
57,8105221,30,60,90,364
58,3269390,18,32,50,321
59,4566393,30,60,90,365
60,9282409,0,0,0,247
61,8095168,0,0,0,103
62,2746782,18,45,45,103
63,6424982,29,59,89,345
64,762029,19,44,44,102
65,8988281,30,48,48,48
66,7077910,23,25,25,27
67,3772674,20,45,75,347
68,7021906,3,26,46,175
69,7618605,0,0,0,94
70,10234558,20,50,80,355
71,7021702,0,0,0,166
72,7680439,25,55,85,360
73,4258515,30,60,89,89
74,1148517,29,59,88,88
75,2487892,10,38,68,343
76,3038772,15,43,73,348
77,699460,7,22,52,327
78,4085439,26,49,79,345
79,8053990,21,49,79,354
80,7011773,0,0,0,55
81,2467550,0,0,0,48
82,2686374,27,49,79,354
83,1956274,27,49,79,354
84,8537192,0,0,0,247
85,5919096,16,46,76,215
86,6516529,0,0,0,199
87,3294243,0,3,33,258
88,10210971,28,58,88,363
89,3584790,0,0,0,2
90,1266459,4,30,60,335
91,9098059,17,17,17,17
92,408526,30,60,90,365
93,4118282,13,13,13,80
94,6813483,28,28,28,275
95,6590264,30,49,56,56
96,2650482,30,60,90,365
97,20927,10,40,70,341
98,4395578,21,48,78,331
99,4995903,1,31,60,60
100,5549211,5,28,52,295
101,8240758,0,0,0,94
102,6856295,29,59,89,364
103,6881188,28,58,88,363
104,1579615,21,47,77,340
105,3766866,29,59,88,88
106,2406966,12,35,52,313
