cancellation_id,listing_id,instant_bookable,cancellation_policy,calculated_host_listings_count,reviews_per_month
1,241032,f,moderate,2,4.07
2,953595,f,strict,6,1.48
3,3308979,f,strict,2,1.15
4,7421966,f,flexible,1,
5,278830,f,strict,1,0.89
6,5956968,f,strict,1,2.45
7,1909058,f,moderate,1,2.46
8,856550,f,strict,5,4.73
9,4948745,f,strict,1,1.22
10,2493658,f,strict,6,1.55
11,175576,f,moderate,1,3.33
12,4454295,f,strict,1,0.98
13,3883392,f,moderate,1,0.92
14,8889257,f,strict,1,3
15,5680462,t,strict,1,2.65
16,8988178,f,strict,1,0.73
17,3245876,f,moderate,1,4.55
18,4933447,t,moderate,1,4.58
19,7735464,f,flexible,1,
20,6291829,f,flexible,1,0.82
21,9218403,f,flexible,1,1
22,4125779,f,moderate,1,0.71
23,8942678,f,flexible,1,0.86
24,10106055,f,flexible,1,
25,6362362,f,moderate,1,0.18
26,3544550,f,strict,2,1.3
27,9025039,f,flexible,1,
28,3200646,f,strict,5,4.38
29,8859380,t,moderate,1,2.47
30,4520099,f,strict,1,0.33
31,2481869,f,strict,6,1.86
32,1110749,f,strict,8,2.18
33,5978498,f,flexible,1,1.31
34,5021081,t,strict,1,0.99
35,1686930,f,strict,1,2.27
36,7680289,t,moderate,2,4.35
37,7207641,f,strict,1,0.97
38,5062445,f,flexible,1,0.9
39,8925878,t,moderate,2,0.83
40,6389657,f,flexible,1,1.98
41,4218733,f,moderate,1,4.7
42,2715623,f,strict,1,0.46
43,1392332,f,moderate,1,1.38
44,7308567,f,moderate,1,3.35
45,6575380,f,flexible,1,1.99
46,6004058,f,flexible,1,2.29
47,9550869,f,strict,1,
48,8515408,f,moderate,1,1.06
49,5383192,f,moderate,1,0.16
50,1112092,t,moderate,1,0.8
51,7772661,f,moderate,1,2
52,9254900,f,flexible,1,
53,7714294,t,moderate,2,0.64
54,10310373,f,flexible,1,
55,9368342,f,strict,1,
56,6361863,f,moderate,1,5.64
57,8105221,f,flexible,1,2.5
58,3269390,t,moderate,1,4.12
59,4566393,f,moderate,1,
60,9282409,f,moderate,1,1.3
61,8095168,f,flexible,2,0.25
62,2746782,f,strict,5,5.24
63,6424982,f,flexible,1,7.06
64,762029,f,strict,5,4.96
65,8988281,f,moderate,1,
66,7077910,f,strict,1,1.82
67,3772674,t,moderate,1,3.94
68,7021906,f,strict,1,1.38
69,7618605,f,flexible,1,1.01
70,10234558,f,flexible,1,
71,7021702,f,flexible,1,
72,7680439,f,flexible,1,3.29
73,4258515,f,strict,1,3.07
74,1148517,f,moderate,1,1.44
75,2487892,f,flexible,1,3.46
76,3038772,f,moderate,1,4.43
77,699460,f,moderate,1,3.85
78,4085439,t,flexible,1,0.38
79,8053990,f,moderate,3,3.75
80,7011773,f,flexible,3,
81,2467550,f,strict,1,
82,2686374,t,moderate,2,7.84
83,1956274,f,strict,1,2.11
84,8537192,f,flexible,2,
85,5919096,f,strict,2,0.26
86,6516529,f,strict,1,
87,3294243,f,moderate,1,1.48
88,10210971,f,flexible,1,
89,3584790,f,moderate,1,
90,1266459,f,strict,1,0.3
91,9098059,f,flexible,2,
92,408526,f,strict,1,
93,4118282,f,moderate,1,6.07
94,6813483,f,moderate,1,1.75
95,6590264,f,strict,1,0.82
96,2650482,f,flexible,1,0.64
97,20927,t,moderate,2,3.64
98,4395578,f,strict,31,0.11
99,4995903,f,flexible,1,
100,5549211,f,strict,1,4.05
101,8240758,f,moderate,1,0.62
102,6856295,t,moderate,1,6.87
103,6881188,f,moderate,1,3.75
104,1579615,t,strict,1,1.55
105,3766866,f,moderate,1,0.82
106,2406966,f,strict,2,0.77
107,4872699,t,strict,1,0.09
108,5470629,f,moderate,1,3.39
109,2950213,t,flexible,1,1.84
110,9015088,t,moderate,2,3.95
111,3979496,f,moderate,1,1.89
112,7501919,f,flexible,1,1.37
113,4732995,t,moderate,1,0.83
114,7134759,f,moderate,3,3.87
115,4532538,f,strict,1,1
116,7534398,f,moderate,1,3.38
117,9387189,f,flexible,1,1
118,6337492,f,flexible,1,0.65
119,10231701,t,flexible,1,
120,1609922,f,moderate,1,0.96
121,4236723,t,moderate,2,7.53
122,7843837,f,flexible,1,
123,3076065,f,strict,1,1.22
124,6423204,f,strict,1,5.87
125,8338849,f,flexible,2,1.91
126,6401209,f,strict,1,2.05
127,20928,t,moderate,2,6.23
128,3344977,f,moderate,1,3.11
129,7604621,t,moderate,1,3.55
130,3303978,f,moderate,1,2.22
131,7067082,f,moderate,1,1.68
132,3121829,f,moderate,1,0.34
133,2539881,f,flexible,1,0.2
