location_no,listing_id,street,city,state,zipcode,latitude,longitude,is_location_exact
1,241032,Gilman Dr W,Seattle,WA,98119,47.63628904,-122.3710252,t
2,953595,"7th Avenue West,",Seattle,WA,98119,47.63912312,-122.3656665,t
3,3308979,"West Lee Street,",Seattle,WA,98119,47.62972413,-122.3694832,t
4,7421966,"8th Avenue West,",Seattle,WA,98119,47.6384732,-122.3692791,t
5,278830,"14th Ave W,",Seattle,WA,98119,47.6329184,-122.3724706,t
6,5956968,"West Comstock Street,",Seattle,WA,98119,47.63052548,-122.3661741,t
7,1909058,"10th Avenue West,",Seattle,WA,98119,47.63660545,-122.3685191,t
8,856550,"West Wheeler Street,",Seattle,WA,98119,47.64016054,-122.375856,t
9,4948745,Queen Anne Avenue North,Seattle,WA,98109,47.6324103,-122.3572161,t
10,2493658,"7th Avenue West,",Seattle,WA,98119,47.63749172,-122.3668886,t
11,175576,"1st Ave W,",Seattle,WA,98119,47.63548171,-122.3584778,t
12,4454295,"3rd Avenue West,",Seattle,WA,98119,47.63721408,-122.3600458,t
13,3883392,"West Howe Street,",Seattle,WA,98119,47.63554551,-122.3731708,t
14,8889257,"West Prospect Street,",Seattle,WA,98119,47.62950681,-122.3676293,t
15,5680462,"7th Avenue West,",Seattle,WA,98119,47.63920266,-122.3658627,t
16,8988178,"12th Avenue West,",Seattle,WA,98119,47.63564979,-122.3728928,f
17,3245876,"West Mercer Place,",Seattle,WA,98119,47.62620037,-122.3666019,t
18,4933447,"12th Avenue West,",Seattle,WA,98119,47.64064588,-122.3724059,t
19,7735464,"11th Avenue West,",Seattle,WA,98119,47.63977587,-122.3722354,t
20,6291829,"1st Avenue West,",Seattle,WA,98119,47.63602478,-122.3586936,t
21,9218403,"West Olympic Place,",Seattle,WA,98119,47.62794034,-122.3649587,f
22,4125779,"2nd Avenue West,",Seattle,WA,98119,47.63637426,-122.3610334,t
23,8942678,"1st Avenue West,",Seattle,WA,98119,47.63563222,-122.3588809,t
24,10106055,"West Galer Street,",Seattle,WA,98119,47.63339396,-122.3719199,t
25,6362362,"10th Avenue West,",Seattle,WA,98119,47.63851671,-122.369581,t
26,3544550,"7th Avenue West,",Seattle,WA,98119,47.63139735,-122.3677669,t
27,9025039,"West McGraw Street,",Seattle,WA,98119,47.63875224,-122.3679727,t
28,3200646,"West Wheeler Street,",Seattle,WA,98119,47.63926602,-122.3747258,t
29,8859380,"9th Avenue West,",Seattle,WA,98119,47.62990712,-122.3689481,t
