type_no,listing_id,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet
1,241032,Apartment,Entire home/apt,4,1,1,1,Real Bed,
2,953595,Apartment,Entire home/apt,4,1,1,1,Real Bed,
3,3308979,House,Entire home/apt,11,4.5,5,7,Real Bed,
4,7421966,Apartment,Entire home/apt,3,1,0,2,Real Bed,
5,278830,House,Entire home/apt,6,2,3,3,Real Bed,
6,5956968,House,Private room,2,1,1,1,Real Bed,
7,1909058,House,Private room,2,1,1,1,Real Bed,
8,856550,Cabin,Private room,2,1,1,1,Real Bed,
9,4948745,Apartment,Private room,2,1,1,1,Real Bed,
10,2493658,Apartment,Entire home/apt,4,1,1,1,Real Bed,
11,175576,House,Entire home/apt,2,1,1,1,Real Bed,
12,4454295,House,Entire home/apt,2,1,1,1,Real Bed,
13,3883392,Apartment,Entire home/apt,4,1,2,3,Real Bed,
14,8889257,House,Entire home/apt,5,1,2,3,Real Bed,
15,5680462,House,Entire home/apt,16,3.5,6,15,Real Bed,
16,8988178,House,Entire home/apt,5,1,2,2,Real Bed,
17,3245876,Apartment,Private room,2,1,1,1,Real Bed,
18,4933447,House,Private room,2,1,1,1,Real Bed,
19,7735464,Apartment,Private room,2,2,1,1,Futon,
20,6291829,House,Entire home/apt,10,3.5,5,5,Real Bed,
21,9218403,Condominium,Entire home/apt,1,1,1,1,Real Bed,
22,4125779,House,Private room,3,1.5,1,2,Real Bed,
23,8942678,House,Entire home/apt,8,2,4,4,Real Bed,
24,10106055,House,Private room,2,1,1,1,Real Bed,
25,6362362,House,Entire home/apt,5,2.5,3,3,Real Bed,
26,3544550,House,Entire home/apt,8,2.5,3,5,Real Bed,
27,9025039,House,Entire home/apt,5,1,2,3,Real Bed,
28,3200646,Camper/RV,Private room,2,1,1,1,Real Bed,
29,8859380,Apartment,Entire home/apt,6,2,3,3,Real Bed,
30,4520099,Apartment,Entire home/apt,3,1,1,2,Real Bed,
31,2481869,Apartment,Entire home/apt,4,1,1,1,Real Bed,
32,1110749,House,Entire home/apt,6,1.5,3,3,Real Bed,
33,5978498,House,Entire home/apt,4,3,3,2,Real Bed,
34,5021081,House,Entire home/apt,7,3.5,4,3,Real Bed,
35,1686930,Apartment,Entire home/apt,4,1,2,2,Real Bed,
36,7680289,Apartment,Entire home/apt,4,1,1,2,Real Bed,
37,7207641,House,Entire home/apt,8,3,3,3,Real Bed,
38,5062445,House,Private room,1,1,1,1,Futon,
39,8925878,Apartment,Entire home/apt,4,1,1,2,Real Bed,
40,6389657,Apartment,Entire home/apt,2,1,0,1,Real Bed,
41,4218733,Apartment,Entire home/apt,4,1,1,2,Real Bed,
42,2715623,House,Entire home/apt,3,1,1,2,Real Bed,
43,1392332,House,Entire home/apt,4,1.5,2,2,Real Bed,
44,7308567,Apartment,Entire home/apt,3,1.5,1,2,Real Bed,
45,6575380,House,Private room,5,1,1,1,Real Bed,
46,6004058,Apartment,Entire home/apt,2,1,0,1,Futon,
47,9550869,Bungalow,Entire home/apt,10,3,4,4,Real Bed,
48,8515408,Bungalow,Entire home/apt,2,1,0,1,Real Bed,
49,5383192,House,Entire home/apt,4,1,1,2,Real Bed,
50,1112092,House,Entire home/apt,4,1,1,3,Real Bed,
51,7772661,House,Entire home/apt,2,1,0,1,Real Bed,
52,9254900,Apartment,Entire home/apt,2,1,0,1,Real Bed,
53,7714294,Apartment,Entire home/apt,3,1,1,1,Futon,
54,10310373,Apartment,Private room,3,1,1,1,Real Bed,
55,9368342,Townhouse,Entire home/apt,2,1.5,1,1,Real Bed,
56,6361863,Apartment,Entire home/apt,2,1,1,1,Real Bed,
57,8105221,Townhouse,Private room,2,1,1,1,Futon,
58,3269390,House,Entire home/apt,2,1,0,1,Real Bed,
59,4566393,House,Entire home/apt,4,2.5,3,3,Real Bed,
60,9282409,House,Private room,2,2,1,1,Real Bed,
61,8095168,Apartment,Private room,2,1,1,1,Futon,
62,2746782,Apartment,Entire home/apt,2,1,0,1,Real Bed,
63,6424982,House,Private room,2,1,1,1,Real Bed,
64,762029,Camper/RV,Private room,2,1,1,2,Real Bed,
65,8988281,House,Entire home/apt,4,1,2,2,Real Bed,
66,7077910,House,Entire home/apt,6,2.5,3,4,Real Bed,
