id,listing_id,date,reviewer_id,comments
38917982,7202016,7/19/2015,28943674,Cute and cozy place. Perfect location to everything! 
39087409,7202016,7/20/2015,32440555,"Kelly has a great room in a very central location. 
"
39820030,7202016,7/26/2015,37722850,"Very spacious apartment, and in a great neighborhood.  This is the kind of apartment I wish I had!
"
40813543,7202016,8/2/2015,33671805,"Close to Seattle Center and all it has to offer - ballet, theater, museum, Space Needle, restaurants of all ilk just blocks away, and the Metropolitan (probably the coolest grocer you'll ever find). Easy to find and Kelly was warm, welcoming, and really interesting to talk to. "
41986501,7202016,8/10/2015,34959538,"Kelly was a great host and very accommodating in a great neighborhood. She has some great coffee and while I wasn't around much during my stay the time I spent interacting with her was very pleasant. 

The apartment is in a great location and very close to the Seattle Center. The neighborhood itself has a lot of good food as well!"
43979139,7202016,8/23/2015,1154501,"Kelly was great, place was great, just what I was looking for-
clean, simple, well kept place.
5 min walk to the Seattle bike share (as of Aug 2015) which I used all week."
45265631,7202016,9/1/2015,37853266,Kelly was great! Very nice and the neighborhood and place to stay was expected and comfortable. Overall great and would book again.
46749120,7202016,9/13/2015,24445447,"hola all bnb erz - Just left Seattle where I had a simply fantastic time for the weekend , no small part because of the welcome mat left for me at Kelly's. all was good and mega efficient, most including precise directions-very important in this town. oh , btw, her cool 50's apt in in the perfect spot to do anything in town with minimum effort. CHEERS"
47783346,7202016,9/21/2015,249583,"Kelly's place is conveniently located on a quiet street in Lower Queen Anne which is an easy walk or bus/cab ride to Belltown and Downtown in addition to being a booming neighborhood in its own right. Alas, I was visiting my job and old friends in Seattle so my schedule was completely full and I barely got to meet Kelly. Which is too bad, she seemed great!"
48388999,7202016,9/26/2015,38110731,
49441269,7202016,10/4/2015,39852826,"The place was really nice, clean and quiet at night.
Clean Linen and Towels were provided and the air mattress was superb. 
The Neighbourhood is practical with a lot of restaurants and cafes around. Downtown is reachable by foot (30 min) or bus (10 min).
Kelly was a fantastic host, although I was working most of the time, so I haven't had time to talk much to her. "
50490194,7202016,10/12/2015,384855,"The listing was exactly as described!  Kelly's place was wonderful and cleen.  it was just what we were looking for.
We only got to meet her for a moment one evening because of our varied schedule, but she was warm and welcoming to us.
Her place is also in good walking distance to City Center!  Lots to do right around there!
We would recommend her place to others who are traveling to Seattle!"
53862449,7202016,11/13/2015,21607838,Very welcoming and a nicer place to live in the Seattle area
54562283,7202016,11/21/2015,17052263,"Great location, great price, great host! Thanks for the wine, coffee and interesting conversation. You'll definitely see me again when I visit next."
55212826,7202016,11/29/2015,4774006,"Staying at Kelly's was easy. The location was a block away from public transportation, her place was easy to find, keys were easy to access and timing was extremely flexible. Great for the price - nothing too fancy. One negative: the shower didn't drain well. "
58268184,7202016,1/2/2016,41297839,Kelly was an amazing host who made the stay very pleasurable. Her location is ideal for anyone visiting Seattle. Highly recommended
20798623,3946674,10/5/2014,9313038,"Despite our late booking request, Rachel & Jon were very responsive and helpful over email. It was a great place to stay - the location was ideal, the house was clean, well-furnished, the room was cozy, and the cat made good company. Overall, a lovely experience and I would definitely recommend the Farmhouse! "
21224862,3946674,10/13/2014,8385649,Rachel & Jon have a nice house closed to downtown. The room was clean. The kitten is really nice and friendly. A good place to stay!
22877803,3946674,11/16/2014,9403201,"Rachel and Jon have been the perfect hosts for us. Our schedule was very tight and they have been very helpful for the check-in and the reservation.
The house is conveniently located, spacious, and beautiful. The room has space for luggages or coats in a big closet. You are given a spare key, so you're free to go in and out.
We have felt really confortable with our hosts and really recommand this house as a place to stay if you're going to Seattle."
22938377,3946674,11/17/2014,2920596,"This house was a delightful bright place to stay! Rachel and Jon were so nice, they had breakfast for us in the morning. And when we arrived their lovely cat Brigette greeted us and made everything cozy!"
23416253,3946674,11/30/2014,23579299,"Beautiful place, nice neighborhood and lovely couple & cat!
Would definitely sleep there again!"
23463915,3946674,12/1/2014,20706964,"Super cozy home. Located near some good restaurants and bars. The only time we really spent at the house was while we were sleeping because we were busy sightseeing on our only day in Seattle, but we would love to stay there again. The cat was an added bonus! 
The only downside was that their room was right next to ours so we felt like we needed to be extra quiet. We also had to wake up very early and we felt bad that Jon and Rachel's room was right next to ours, but I'm sure they're used to it! 
Another bonus was that they had wonderful looking bread and beverages available for us in the morning, but unfortunately we didn't have time to enjoy them! "
23709531,3946674,12/8/2014,23941301,"Cute house, and Rachel and Jon were super nice hosts.  Very prompt communication, clean, comfortable rooms, simple and relaxing decor. Thanks guys!"
